Title,Year,First Author,Author Count,Citation Count,Bibcode
Temporal and Spectral Correlations of Cygnus X-1,1999,"Li, T. P.",3,36,1999ApJ...521..789L
Solar Interface Dynamo Models with a Realistic Rotation Profile,1999,"Markiel, J. Andrew",2,76,1999ApJ...523..827M
Gasdynamics in the Luminous Merger NGC 6240,1999,"Tacconi, L. J.",6,140,1999ApJ...524..732T
VSOP and Ground-based VLBI Imaging of the TEV Blazar Markarian 421 at Multiple Epochs,1999,"Piner, B. G.",6,46,1999ApJ...525..176P
Vertical Instabilities and Off-Plane Orbits in Circumbinary Disks,1999,"Erwin, Peter",2,6,1999ApJ...521..798E
The MACHO Project: Microlensing Results from 5.7 Years of Large Magellanic Cloud Observations,2000,"Alcock, C.",25,903,2000ApJ...542..281A
Multicolor Optical Imaging of Infrared-warm Seyfert Galaxies. II. Optical and Infrared Properties and Their Correlations,2000,"Chatzichristou, Eleni T.",1,6,2000ApJ...544..712C
Thermal Instability and the Formation of Clumpy Gas Clouds,2000,"Burkert, A.",2,108,2000ApJ...537..270B
An ASCA Study of the Heavy-Element Distribution in Clusters of Galaxies,2000,"Finoguenov, A.",3,157,2000ApJ...544..188F
The Disk of β Pictoris in the Light of Polarimetric Data,2000,"Krivova, Natalia A.",3,25,2000ApJ...539..424K
X-Ray Desorption of Molecules from Grains in Protoplanetary Disks,2001,"Najita, Joan",3,31,2001ApJ...561..880N
Astrometric ``Imaging'' of Crowded Stellar Fields with Only Two SIM Pointings,2001,"Dalal, Neal",2,9,2001ApJ...561..481D
Lensing Properties of Scale-free Galaxies,2001,"Hunter, C.",2,24,2001ApJ...554.1227H
Relativistic Beaming and Flux Variability in Active Galactic Nuclei,2001,"Lister, Matthew L.",1,20,2001ApJ...561..676L
A Study of Hydrogen Density in Emerging Flux Loops from a Coordinated Transition Region and Coronal Explorer and Canary Islands Observation Campaign,2001,"Mein, N.",7,37,2001ApJ...556..438M
The Origin of Diffuse X-Ray Emission from the Galactic Ridge. II. Nonequilibrium Emission Due to In Situ Accelerated Electrons,2002,"Masai, Kuniaki",5,31,2002ApJ...581.1071M
Completeness in Photometric and Spectroscopic Searches for Clusters,2002,"White, Martin",2,31,2002ApJ...574...24W
Detection of the BL Lacertae Object H1426+428 at TeV Gamma-Ray Energies,2002,"Horan, D.",50,104,2002ApJ...571..753H
The Nature of Ultraluminous X-Ray Sources in NGC 4565,2002,"Wu, H.",5,43,2002ApJ...576..738W
Simulation of a Space-based Microlensing Survey for Terrestrial Extrasolar Planets,2002,"Bennett, David P.",2,174,2002ApJ...574..985B
Supergalactic Winds Driven by Multiple Super-Star Clusters,2003,"Tenorio-Tagle, Guillermo",3,50,2003ApJ...597..279T
The Submillimeter Properties of Broad Absorption Line Quasars,2003,"Willott, Chris J.",3,45,2003ApJ...598..909W
COBE DMR-normalized Dark Energy Cosmogony,2003,"Mukherjee, Pia",5,16,2003ApJ...598..767M
Photoelectric Heating and [C II] Cooling in Translucent Clouds: Results for Cloud Models Based on Simulations of Compressible Magnetohydrodynamic Turbulence,2003,"Juvela, M.",3,16,2003ApJ...591..258J
The Unusual 2001 Periastron Passage in the ``Clockwork'' Colliding-Wind Binary WR 140,2003,"Marchenko, S. V.",14,79,2003ApJ...596.1295M
On the Chandra X-Ray Sources in the Galactic Center,2004,"Belczynski, Krzysztof",2,47,2004ApJ...616.1159B
Correlation Function in Deep Redshift Space as a Cosmological Probe,2004,"Matsubara, Takahiko",1,151,2004ApJ...615..573M
The ACS Virgo Cluster Survey. III. Chandra and Hubble Space Telescope Observations of Low-Mass X-Ray Binaries and Globular Clusters in M87,2004,"Jordán, Andrés",10,121,2004ApJ...613..279J
Chemical Abundances in the Secondary Star in the Black Hole Binary A0620-00,2004,"González Hernández, Jonay I.",6,45,2004ApJ...609..988G
"The Structure, Kinematics, and Physical Properties of the Molecular Gas in the Starburst Nucleus of NGC 253",2004,"Paglione, Timothy A. D.",4,36,2004ApJ...611..835P
A Validation Test of the Flux-limited Diffusion Approximation for Radiation Hydrodynamics,2005,"Leibrandt, D. R.",4,8,2005ApJ...626..616L
Particle-in-Cell Simulations of a Nonlinear Transverse Electromagnetic Wave in a Pulsar Wind Termination Shock,2005,"Skjæraasen, O.",3,15,2005ApJ...634..542S
The Infrared-dominated Jet of 3C 401,2005,"Chiaberge, Marco",9,9,2005ApJ...629..100C
Imaging Redshifts of BL Lacertae Objects,2005,"Sbarufatti, B.",3,160,2005ApJ...635..173S
